stage,status,rwp_before,rwp_after
background_scale,ok,99.97262601705191,8.261268254654537
sample_displacement,ok,8.261268254654537,8.261268254654537
unit_cell,ok,8.261268254654537,8.035298700826283
profile_instrument,ok,8.035298700826283,6.369134677733972
peak_asymmetry,failed_bounds,6.369134677733972,6.367947428170824
profile_microstrain_size,ok,6.369134677733972,6.383732166803726
extinction,failed_bounds,6.383732166803726,6.491083530336892
preferred_orientation,ok,6.383732166803726,6.297737794370508
