stage,status,rwp_before,rwp_after
background_scale,ok,100.0,27.216203203991597
sample_displacement,ok,27.216203203991597,27.215199005061258
unit_cell,ok,27.215199005061258,27.204917599313283
profile_instrument,ok,27.204917599313283,18.362545143833817
peak_asymmetry,ok,18.362545143833817,13.973319059873996
profile_microstrain_size,ok,13.973319059873996,13.847870177247692
extinction,failed_bounds,13.847870177247692,14.346093028612986
preferred_orientation,failed_error,13.847870177247692,nan
atoms,ok,13.847870177247692,11.753202027419816
