stage,status,rwp_before,rwp_after
background_scale,ok,99.97605872341873,7.758459884384758
sample_displacement,ok,7.758459884384758,7.758459884384758
unit_cell,ok,7.758459884384758,7.557035185448411
profile_instrument,ok,7.557035185448411,6.0942660950124585
peak_asymmetry,failed_bounds,6.0942660950124585,6.0934227457125685
profile_microstrain_size,ok,6.0942660950124585,6.063163459325029
extinction,failed_bounds,6.063163459325029,6.199235642849102
preferred_orientation,failed_bounds,6.063163459325029,6.075625445305862
