two_theta,y_obs,y_calc,y_bkg,y_diff
6.46,9675,9508.87,9508.87,166.134
6.47,9450,9522.41,9522.41,-72.4117
6.48,9000,9535.94,9535.94,-535.94
6.49,9275,9549.45,9549.45,-274.451
6.5,9100,9562.95,9562.95,-462.946
6.51,9225,9576.42,9576.42,-351.423
6.52,8700,9589.88,9589.88,-889.883
6.53,9025,9603.33,9603.33,-578.327
6.54,9250,9616.75,9616.75,-366.753
6.55,9825,9630.16,9630.16,194.837
6.56,9875,9643.56,9643.56,231.444
6.57,10025,9656.93,9656.93,368.068
6.58,9100,9670.29,9670.29,-570.291
6.59,9350,9683.63,9683.63,-333.633
6.6,9250,9696.96,9696.96,-446.958
6.61,9625,9710.27,9710.27,-85.2666
6.62,9450,9723.56,9723.56,-273.558
6.63,8975,9736.83,9736.83,-761.833
6.64,9125,9750.09,9750.09,-625.091
6.65,9925,9763.33,9763.33,161.667
6.66,9725,9776.56,9776.56,-51.5572
6.67,9625,9789.77,9789.77,-164.765
6.68,9675,9802.96,9802.96,-127.956
6.69,10125,9816.13,9816.13,308.869
6.7,10125,9829.29,9829.29,295.712
6.71,10300,9842.43,9842.43,457.571
6.72,10250,9855.55,9855.55,394.446
6.73,9550,9868.66,9868.66,-318.661
6.74,9850,9881.75,9881.75,-31.7524
6.75,9600,9894.83,9894.83,-294.827
6.76,9350,9907.88,9907.88,-557.885
6.77,10450,9920.93,9920.93,529.074
6.78,9400,9933.95,9933.95,-533.951
6.79,9300,9946.96,9946.96,-646.959
6.8,9725,9959.95,9959.95,-234.95
6.81,9425,9972.93,9972.93,-547.925
6.82,9975,9985.88,9985.88,-10.8834
6.83,9700,9998.83,9998.83,-298.825
6.84,10050,10011.8,10011.8,38.2493
6.85,9425,10024.7,10024.7,-599.66
6.86,10250,10037.6,10037.6,212.448
6.87,10175,10050.4,10050.4,124.572
6.88,9800,10063.3,10063.3,-263.288
6.89,9750,10076.1,10076.1,-326.131
6.9,10225,10089,10089,136.043
6.91,9750,10101.8,10101.8,-351.767
6.92,9850,10114.6,10114.6,-264.561
6.93,10100,10127.3,10127.3,-27.3388
6.94,10650,10140.1,10140.1,509.9
6.95,9875,10152.8,10152.8,-277.845
6.96,9725,10165.6,10165.6,-440.573
6.97,9750,10178.3,10178.3,-428.285
