stage,status,rwp_before,rwp_after
background_scale,ok,nan,8.303607670481805
sample_displacement,ok,8.303607670481805,8.303607670481805
unit_cell,ok,8.303607670481805,7.49701005911239
profile_instrument,ok,7.49701005911239,6.098400980471068
profile_microstrain_size,ok,6.098400980471068,6.066150741527891
