stage,status,rwp_before,rwp_after
background_scale,ok,99.97263577175939,8.881938796742732
sample_displacement,ok,8.881938796742732,8.881938796742732
unit_cell,ok,8.881938796742732,7.9655652385741735
profile_instrument,ok,7.9655652385741735,6.377057274633118
peak_asymmetry,failed_bounds,6.377057274633118,6.375271250646124
profile_microstrain_size,ok,6.377057274633118,6.389172584591339
extinction,failed_bounds,6.389172584591339,6.4981574142078875
preferred_orientation,ok,6.389172584591339,6.303704143128128
