stage,status,rwp_before,rwp_after
background_scale,ok,nan,29.76232988487438
sample_displacement,ok,29.76232988487438,29.760705288630984
unit_cell,ok,29.760705288630984,29.748743636724633
profile_instrument,ok,29.748743636724633,18.139388499220036
profile_microstrain_size,ok,18.139388499220036,13.736229327356087
