stage,status,rwp_before,rwp_after
background_scale,ok,100.0,34.06515212344779
sample_displacement,ok,34.06515212344779,34.063484774540875
unit_cell,ok,34.063484774540875,34.049491366802656
profile_instrument,ok,34.049491366802656,20.46936337729818
peak_asymmetry,ok,20.46936337729818,12.870769023978736
profile_microstrain_size,ok,12.870769023978736,12.651687525754898
extinction,ok,12.651687525754898,12.424640600526585
preferred_orientation,failed_bounds,12.424640600526585,27.346122748387852
atoms,failed_bounds,12.424640600526585,9.809195115449514
