stage,status,rwp_before,rwp_after
background_scale,ok,99.97605873168376,7.756881734177125
sample_displacement,ok,7.756881734177125,7.756881734177125
unit_cell,ok,7.756881734177125,7.557380172053639
profile_instrument,ok,7.557380172053639,6.094229410152745
peak_asymmetry,failed_bounds,6.094229410152745,6.093407838311177
profile_microstrain_size,ok,6.094229410152745,6.063145040748575
extinction,failed_bounds,6.063145040748575,6.199220987552069
preferred_orientation,failed_bounds,6.063145040748575,6.075607072361634
