two_theta,y_obs,y_calc,y_bkg,y_diff
3.875,0.29695,0.317736,0.317736,-0.0207857
3.88,0.306331,0.318408,0.318408,-0.0120767
3.885,0.265384,0.31908,0.31908,-0.0536955
3.89,0.246686,0.319751,0.319751,-0.0730653
3.895,0.238279,0.320423,0.320423,-0.0821432
3.9,0.366013,0.321094,0.321094,0.0449196
3.905,0.389534,0.321764,0.321764,0.0677696
3.91,0.305856,0.322434,0.322434,-0.0165782
3.915,0.271975,0.323104,0.323104,-0.0511287
3.92,0.266083,0.323774,0.323774,-0.0576902
3.925,0.282862,0.324443,0.324443,-0.0415809
3.93,0.240795,0.325112,0.325112,-0.0843165
3.935,0.157316,0.32578,0.32578,-0.168464
3.94,0.207126,0.326448,0.326448,-0.119322
3.945,0.235978,0.327116,0.327116,-0.0911374
3.95,0.303083,0.327783,0.327783,-0.0247003
3.955,0.377689,0.32845,0.32845,0.0492384
3.96,0.39927,0.329117,0.329117,0.0701529
3.965,0.405552,0.329783,0.329783,0.0757685
3.97,0.347998,0.330449,0.330449,0.0175487
3.975,0.326385,0.331115,0.331115,-0.00473039
3.98,0.296928,0.33178,0.33178,-0.0348526
3.985,0.300808,0.332445,0.332445,-0.0316374
3.99,0.330647,0.33311,0.33311,-0.0024635
3.995,0.33901,0.333774,0.333774,0.00523598
4,0.326402,0.334438,0.334438,-0.00803599
4.005,0.294691,0.335102,0.335102,-0.0404109
4.01,0.35186,0.335765,0.335765,0.0160946
4.015,0.381127,0.336428,0.336428,0.0446992
4.02,0.390393,0.337091,0.337091,0.0533026
4.025,0.39623,0.337753,0.337753,0.0584769
4.03,0.387107,0.338415,0.338415,0.0486924
4.035,0.430711,0.339076,0.339076,0.0916341
4.04,0.397294,0.339738,0.339738,0.0575559
4.045,0.3823,0.340398,0.340398,0.0419015
4.05,0.362168,0.341059,0.341059,0.0211089
4.055,0.34819,0.341719,0.341719,0.00647057
4.06,0.367526,0.342379,0.342379,0.0251473
4.065,0.386675,0.343038,0.343038,0.0436369
4.07,0.375383,0.343698,0.343698,0.0316851
4.075,0.375311,0.344356,0.344356,0.0309548
4.08,0.333302,0.345015,0.345015,-0.0117127
4.085,0.317789,0.345673,0.345673,-0.0278835
4.09,0.272285,0.346331,0.346331,-0.0740461
4.095,0.291228,0.346988,0.346988,-0.05576
4.1,0.296889,0.347645,0.347645,-0.0507561
4.105,0.315133,0.348302,0.348302,-0.0331689
4.11,0.322653,0.348958,0.348958,-0.0263057
4.115,0.305675,0.349614,0.349614,-0.0439393
4.12,0.280131,0.35027,0.35027,-0.0701386
4.125,0.27832,0.350925,0.350925,-0.072605
4.13,0.338173,0.35158,0.35158,-0.0134078
4.135,0.368968,0.352235,0.352235,0.0167332
4.14,0.36858,0.352889,0.352889,0.0156902
4.145,0.324629,0.353543,0.353543,-0.0289146
4.15,0.312294,0.354197,0.354197,-0.0419034
4.155,0.294544,0.35485,0.35485,-0.060306
4.16,0.287132,0.355503,0.355503,-0.0683714
4.165,0.293962,0.356156,0.356156,-0.0621939
4.17,0.320607,0.356808,0.356808,-0.0362011
4.175,0.334013,0.35746,0.35746,-0.0234471
4.18,0.362185,0.358112,0.358112,0.00407278
4.185,0.371528,0.358763,0.358763,0.0127646
4.19,0.372576,0.359414,0.359414,0.0131624
4.195,0.360414,0.360065,0.360065,0.000349143
4.2,0.34912,0.360715,0.360715,-0.0115949
4.205,0.313291,0.361365,0.361365,-0.0480743
4.21,0.271013,0.362014,0.362014,-0.0910015
4.215,0.254634,0.362664,0.362664,-0.108029
4.22,0.27234,0.363312,0.363312,-0.0909728
4.225,0.305539,0.363961,0.363961,-0.058422
4.23,0.302461,0.364609,0.364609,-0.0621479
4.235,0.286711,0.365257,0.365257,-0.0785457
4.24,0.280127,0.365904,0.365904,-0.0857772
4.245,0.3267,0.366552,0.366552,-0.0398522
4.25,0.316654,0.367198,0.367198,-0.0505445
4.255,0.282145,0.367845,0.367845,-0.0857001
4.26,0.25002,0.368491,0.368491,-0.118471
4.265,0.262815,0.369137,0.369137,-0.106322
4.27,0.294211,0.369782,0.369782,-0.0755717
4.275,0.291608,0.370428,0.370428,-0.0788194
4.28,0.265026,0.371072,0.371072,-0.106046
4.285,0.283917,0.371717,0.371717,-0.0877994
4.29,0.330003,0.372361,0.372361,-0.0423578
4.295,0.358396,0.373005,0.373005,-0.0146086
4.3,0.378193,0.373648,0.373648,0.00454518
4.305,0.354873,0.374291,0.374291,-0.0194182
4.31,0.375163,0.374934,0.374934,0.000229149
4.315,0.37163,0.375576,0.375576,-0.00394625
4.32,0.370861,0.376218,0.376218,-0.00535728
4.325,0.371934,0.37686,0.37686,-0.00492659
4.33,0.368089,0.377502,0.377502,-0.0094127
4.335,0.386169,0.378143,0.378143,0.00802672
4.34,0.361883,0.378783,0.378783,-0.0169003
4.345,0.362612,0.379424,0.379424,-0.016812
4.35,0.373148,0.380064,0.380064,-0.00691576
4.355,0.366916,0.380704,0.380704,-0.0137873
4.36,0.349854,0.381343,0.381343,-0.0314891
4.365,0.359813,0.381982,0.381982,-0.0221691
