stage,status,rwp_before,rwp_after
background_scale,ok,99.9760666995251,8.303607671998204
sample_displacement,ok,8.303607671998204,8.303607671998204
unit_cell,ok,8.303607671998204,7.49701005694323
profile_instrument,ok,7.49701005694323,6.098401181949183
peak_asymmetry,failed_bounds,6.098401181949183,6.097388022950749
profile_microstrain_size,ok,6.098401181949183,6.066150810312196
extinction,failed_bounds,6.066150810312196,6.203244625497718
preferred_orientation,failed_bounds,6.066150810312196,6.081263190899935
