stage,status,rwp_before,rwp_after
background_scale,ok,99.97542544464146,8.408907047898106
sample_displacement,ok,8.408907047898106,8.408907047898106
unit_cell,ok,8.408907047898106,7.573961158072996
profile_instrument,ok,7.573961158072996,6.129159802790175
peak_asymmetry,failed_bounds,6.129159802790175,6.127847433349666
profile_microstrain_size,ok,6.129159802790175,6.149108186578083
extinction,failed_bounds,6.149108186578083,6.250269483959984
preferred_orientation,ok,6.149108186578083,6.066749004358973
