two_theta,y_obs,y_calc,y_bkg,y_diff
5,7500,7382.57,7382.57,117.427
5.01,6975,7398.56,7398.56,-423.555
5.02,7175,7414.52,7414.52,-239.518
5.03,8050,7430.46,7430.46,619.538
5.04,8125,7446.39,7446.39,678.613
5.05,7925,7462.29,7462.29,462.707
5.06,7975,7478.18,7478.18,496.82
5.07,8400,7494.05,7494.05,905.951
5.08,7900,7509.9,7509.9,390.101
5.09,7850,7525.73,7525.73,324.271
5.1,7950,7541.54,7541.54,408.458
5.11,7725,7557.33,7557.33,167.665
5.12,7550,7573.11,7573.11,-23.1095
5.13,7575,7588.87,7588.87,-13.8653
5.14,7700,7604.6,7604.6,95.3976
5.15,7925,7620.32,7620.32,304.679
5.16,7550,7636.02,7636.02,-86.0206
5.17,7875,7651.7,7651.7,223.298
5.18,7125,7667.36,7667.36,-542.364
5.19,7850,7683.01,7683.01,166.992
5.2,7825,7698.63,7698.63,126.367
5.21,7975,7714.24,7714.24,260.761
5.22,7575,7729.83,7729.83,-154.827
5.23,8325,7745.4,7745.4,579.604
5.24,7650,7760.95,7760.95,-110.947
5.25,7725,7776.48,7776.48,-51.4793
5.26,7850,7791.99,7791.99,58.0071
5.27,7550,7807.49,7807.49,-257.488
5.28,7975,7822.96,7822.96,152.035
5.29,8000,7838.42,7838.42,161.577
5.3,8000,7853.86,7853.86,146.138
5.31,8400,7869.28,7869.28,530.717
5.32,7550,7884.69,7884.69,-334.686
5.33,8375,7900.07,7900.07,474.93
5.34,7500,7915.44,7915.44,-415.436
5.35,8475,7930.78,7930.78,544.217
5.36,7425,7946.11,7946.11,-521.112
5.37,7825,7961.42,7961.42,-136.423
5.38,7300,7976.71,7976.71,-676.715
5.39,8325,7991.99,7991.99,333.011
5.4,8350,8007.24,8007.24,342.756
5.41,9075,8022.48,8022.48,1052.52
5.42,8425,8037.7,8037.7,387.3
5.43,8025,8052.9,8052.9,-27.901
5.44,7900,8068.08,8068.08,-168.083
5.45,7600,8083.25,8083.25,-483.247
5.46,7575,8098.39,8098.39,-523.393
5.47,8100,8113.52,8113.52,-13.5206
5.48,7350,8128.63,8128.63,-778.63
5.49,7625,8143.72,8143.72,-518.721
5.5,7850,8158.79,8158.79,-308.794
5.51,8300,8173.85,8173.85,126.151
5.52,8150,8188.89,8188.89,-38.8853
5.53,8350,8203.9,8203.9,146.096
5.54,8050,8218.9,8218.9,-168.904
5.55,7800,8233.89,8233.89,-433.886
5.56,9150,8248.85,8248.85,901.15
5.57,8200,8263.8,8263.8,-63.7962
5.58,8350,8278.72,8278.72,71.2759
5.59,7775,8293.63,8293.63,-518.634
5.6,8700,8308.53,8308.53,391.474
5.61,8000,8323.4,8323.4,-323.399
5.62,9075,8338.26,8338.26,736.745
5.63,8750,8353.09,8353.09,396.907
5.64,8900,8367.91,8367.91,532.087
5.65,8075,8382.71,8382.71,-307.714
5.66,8275,8397.5,8397.5,-122.498
5.67,8925,8412.26,8412.26,512.736
5.68,8950,8427.01,8427.01,522.988
5.69,8775,8441.74,8441.74,333.258
5.7,8450,8456.45,8456.45,-6.45404
5.71,8675,8471.15,8471.15,203.852
5.72,8350,8485.82,8485.82,-135.825
5.73,7850,8500.48,8500.48,-650.483
5.74,8750,8515.12,8515.12,234.876
5.75,8975,8529.75,8529.75,445.254
5.76,8850,8544.35,8544.35,305.649
5.77,8525,8558.94,8558.94,-33.9386
5.78,8950,8573.51,8573.51,376.492
5.79,8150,8588.06,8588.06,-438.06
5.8,9450,8602.59,8602.59,847.407
5.81,8400,8617.11,8617.11,-217.11
5.82,8200,8631.61,8631.61,-431.608
5.83,8700,8646.09,8646.09,53.9114
5.84,8100,8660.55,8660.55,-560.552
5.85,8125,8675,8675,-549.997
5.86,9125,8689.42,8689.42,435.576
5.87,8400,8703.83,8703.83,-303.834
5.88,9125,8718.23,8718.23,406.773
5.89,8375,8732.6,8732.6,-357.601
5.9,8200,8746.96,8746.96,-546.958
5.91,7925,8761.3,8761.3,-836.298
5.92,7650,8775.62,8775.62,-1125.62
5.93,8725,8789.92,8789.92,-64.9239
5.94,9025,8804.21,8804.21,220.789
5.95,8650,8818.48,8818.48,-168.48
5.96,8650,8832.73,8832.73,-182.731
5.97,8450,8846.97,8846.97,-396.966
5.98,8775,8861.18,8861.18,-86.1821
5.99,8875,8875.38,8875.38,-0.38126
6,8750,8889.56,8889.56,-139.563
6.01,8675,8903.73,8903.73,-228.727
6.02,9075,8917.87,8917.87,157.126
6.03,9400,8932,8932,467.997
6.04,8850,8946.12,8946.12,-96.1151
6.05,8550,8960.21,8960.21,-410.21
6.06,9325,8974.29,8974.29,350.713
6.07,9300,8988.35,8988.35,311.654
6.08,8925,9002.39,9002.39,-77.3888
6.09,9200,9016.41,9016.41,183.586
6.1,9500,9030.42,9030.42,469.578
6.11,8475,9044.41,9044.41,-569.412
6.12,9125,9058.39,9058.39,66.615
6.13,9000,9072.34,9072.34,-72.3408
6.14,9025,9086.28,9086.28,-61.2793
6.15,8950,9100.2,9100.2,-150.201
6.16,8725,9114.1,9114.1,-389.105
6.17,9525,9127.99,9127.99,397.009
6.18,8725,9141.86,9141.86,-416.861
6.19,8675,9155.71,9155.71,-480.713
6.2,10175,9169.55,9169.55,1005.45
6.21,9225,9183.37,9183.37,41.6336
6.22,9375,9197.17,9197.17,177.833
6.23,9975,9210.95,9210.95,764.049
6.24,9125,9224.72,9224.72,-99.7174
6.25,9550,9238.47,9238.47,311.533
6.26,8975,9252.2,9252.2,-277.199
6.27,9250,9265.91,9265.91,-15.9144
6.28,9100,9279.61,9279.61,-179.613
