two_theta,y_obs,y_calc,y_bkg,y_diff
4.49,0.289591,0.40497,0.404968,-0.115379
4.495,0.286092,0.405579,0.405577,-0.119486
4.5,0.318257,0.406187,0.406186,-0.0879294
4.505,0.351396,0.406795,0.406794,-0.0553992
4.51,0.375228,0.407403,0.407402,-0.0321746
4.515,0.415516,0.40801,0.408009,0.0075055
4.52,0.452129,0.408617,0.408616,0.043512
4.525,0.472797,0.409224,0.409223,0.0635723
4.53,0.419754,0.409831,0.40983,0.00992367
4.535,0.36961,0.410437,0.410436,-0.0408266
4.54,0.344482,0.411043,0.411042,-0.0665605
4.545,0.328755,0.411648,0.411647,-0.0828933
4.55,0.358035,0.412254,0.412252,-0.0542191
4.555,0.368702,0.412859,0.412857,-0.0441572
4.56,0.40308,0.413463,0.413462,-0.0103838
4.565,0.385748,0.414068,0.414066,-0.0283198
4.57,0.375488,0.414672,0.41467,-0.0391836
4.575,0.370117,0.415275,0.415274,-0.0451585
4.58,0.395774,0.415879,0.415878,-0.0201045
4.585,0.417054,0.416482,0.416481,0.000571779
4.59,0.454093,0.417085,0.417083,0.0370082
4.595,0.473583,0.417687,0.417686,0.0558961
4.6,0.476249,0.418289,0.418288,0.05796
4.605,0.475947,0.418891,0.41889,0.0570557
4.61,0.463966,0.419493,0.419491,0.0444734
4.615,0.422448,0.420094,0.420092,0.00235435
4.62,0.411481,0.420695,0.420693,-0.00921366
4.625,0.396741,0.421295,0.421294,-0.0245541
4.63,0.402734,0.421895,0.421894,-0.0191613
4.635,0.376727,0.422495,0.422494,-0.0457682
4.64,0.350796,0.423095,0.423094,-0.0722993
4.645,0.348208,0.423694,0.423693,-0.0754868
4.65,0.360086,0.424293,0.424292,-0.0642075
4.655,0.344048,0.424892,0.424891,-0.0808437
4.66,0.355861,0.425491,0.425489,-0.0696292
4.665,0.385409,0.426089,0.426087,-0.0406797
4.67,0.41392,0.426686,0.426685,-0.0127662
4.675,0.447492,0.427284,0.427282,0.0202079
4.68,0.460035,0.427881,0.42788,0.0321539
4.685,0.443134,0.428478,0.428476,0.0146558
4.69,0.419694,0.429074,0.429073,-0.00937983
4.695,0.412351,0.42967,0.429669,-0.0173191
4.7,0.46002,0.430266,0.430265,0.029754
4.705,0.453478,0.430862,0.430861,0.0226164
4.71,0.443954,0.431457,0.431456,0.0124969
4.715,0.42656,0.432052,0.432051,-0.00549225
4.72,0.452736,0.432647,0.432646,0.0200889
4.725,0.463674,0.433241,0.43324,0.0304325
4.73,0.468646,0.433835,0.433834,0.0348104
4.735,0.472927,0.434429,0.434428,0.0384983
4.74,0.463819,0.435022,0.435021,0.028797
4.745,0.458375,0.435615,0.435614,0.0227599
4.75,0.456721,0.436208,0.436207,0.0205132
4.755,0.474651,0.436801,0.436799,0.0378504
4.76,0.475492,0.437393,0.437392,0.0380989
4.765,0.450917,0.437985,0.437983,0.0129324
4.77,0.445675,0.438576,0.438575,0.00709869
4.775,0.43286,0.439168,0.439166,-0.00630783
4.78,0.439657,0.439758,0.439757,-0.000101065
4.785,0.446709,0.440349,0.440348,0.00635943
4.79,0.458968,0.440939,0.440938,0.0180289
4.795,0.443714,0.441529,0.441528,0.00218484
4.8,0.442576,0.442119,0.442118,0.000457355
4.805,0.483302,0.442708,0.442707,0.0405937
4.81,0.525288,0.443298,0.443296,0.0819902
4.815,0.518905,0.443886,0.443885,0.0750184
4.82,0.483217,0.444475,0.444473,0.0387422
4.825,0.447708,0.445063,0.445062,0.00264523
4.83,0.439882,0.445651,0.445649,-0.00576849
4.835,0.408138,0.446238,0.446237,-0.0381
4.84,0.390254,0.446825,0.446824,-0.0565717
4.845,0.390431,0.447412,0.447411,-0.0569816
4.85,0.399219,0.447999,0.447998,-0.0487798
4.855,0.397796,0.448585,0.448584,-0.0507891
4.86,0.392152,0.449171,0.44917,-0.0570195
4.865,0.382636,0.449757,0.449756,-0.067121
4.87,0.38981,0.450342,0.450341,-0.0605323
4.875,0.425527,0.450927,0.450926,-0.0254003
4.88,0.457922,0.451512,0.451511,0.00640989
4.885,0.480729,0.452097,0.452095,0.0286325
4.89,0.464012,0.452681,0.452679,0.0113314
4.895,0.422297,0.453265,0.453263,-0.0309679
4.9,0.406036,0.453848,0.453847,-0.0478117
4.905,0.413282,0.454431,0.45443,-0.0411491
4.91,0.421991,0.455014,0.455013,-0.0330234
4.915,0.407992,0.455597,0.455595,-0.0476043
4.92,0.415494,0.456179,0.456178,-0.0406847
4.925,0.452213,0.456761,0.45676,-0.00454794
4.93,0.484511,0.457343,0.457341,0.027168
4.935,0.495004,0.457924,0.457923,0.0370799
4.94,0.468613,0.458505,0.458504,0.0101077
4.945,0.465929,0.459086,0.459085,0.00684262
4.95,0.465997,0.459666,0.459665,0.00633109
4.955,0.457542,0.460246,0.460245,-0.00270433
4.96,0.447306,0.460826,0.460825,-0.01352
4.965,0.423096,0.461406,0.461405,-0.0383101
4.97,0.426152,0.461985,0.461984,-0.0358332
4.975,0.41353,0.462564,0.462563,-0.0490338
4.98,0.397566,0.463143,0.463141,-0.0655763
4.985,0.417831,0.463721,0.46372,-0.0458896
4.99,0.462985,0.464299,0.464298,-0.001314
4.995,0.491916,0.464877,0.464875,0.0270394
5,0.503252,0.465454,0.465453,0.0377983
5.005,0.469058,0.466031,0.46603,0.00302706
5.01,0.455305,0.466608,0.466607,-0.0113024
5.015,0.450356,0.467184,0.467183,-0.0168281
5.02,0.516842,0.46776,0.467759,0.0490818
5.025,0.532998,0.468336,0.468335,0.0646617
5.03,0.527475,0.468912,0.468911,0.0585635
5.035,0.482775,0.469487,0.469486,0.0132882
5.04,0.443505,0.470062,0.470061,-0.0265574
5.045,0.453108,0.470637,0.470635,-0.0175291
5.05,0.448917,0.471211,0.47121,-0.0222938
5.055,0.480362,0.471785,0.471784,0.0085772
5.06,0.494473,0.472359,0.472357,0.0221138
5.065,0.499751,0.472932,0.472931,0.0268184
5.07,0.486209,0.473505,0.473504,0.0127032
5.075,0.471489,0.474078,0.474077,-0.00258869
5.08,0.481057,0.474651,0.474649,0.00640632
5.085,0.519595,0.475223,0.475222,0.0443719
5.09,0.545243,0.475795,0.475793,0.0694482
5.095,0.534669,0.476366,0.476365,0.0583029
5.1,0.508261,0.476938,0.476936,0.0313231
5.105,0.492325,0.477509,0.477507,0.0148163
5.11,0.470097,0.478079,0.478078,-0.00798224
5.115,0.464555,0.47865,0.478648,-0.0140948
5.12,0.423494,0.47922,0.479218,-0.0557258
5.125,0.433686,0.47979,0.479788,-0.0461035
5.13,0.443149,0.480359,0.480358,-0.0372105
5.135,0.471145,0.480928,0.480927,-0.00978325
5.14,0.491697,0.481497,0.481496,0.0102004
5.145,0.491273,0.482066,0.482064,0.0092073
5.15,0.48148,0.482634,0.482632,-0.00115388
5.155,0.481431,0.483202,0.4832,-0.0017705
5.16,0.478997,0.483769,0.483768,-0.00477209
5.165,0.513055,0.484337,0.484335,0.0287185
5.17,0.560815,0.484904,0.484902,0.0759113
5.175,0.602259,0.485471,0.485469,0.116788
5.18,0.617429,0.486037,0.486036,0.131392
5.185,0.575277,0.486603,0.486602,0.0886735
5.19,0.541245,0.487169,0.487168,0.0540757
5.195,0.498095,0.487734,0.487733,0.0103606
5.2,0.492242,0.4883,0.488298,0.00394246
5.205,0.480794,0.488865,0.488863,-0.00807053
5.21,0.477135,0.489429,0.489428,-0.0122939
5.215,0.500818,0.489994,0.489992,0.0108241
5.22,0.508553,0.490558,0.490556,0.0179958
5.225,0.510723,0.491121,0.49112,0.0196019
5.23,0.48597,0.491685,0.491683,-0.00571442
5.235,0.454181,0.492248,0.492246,-0.0380668
5.24,0.442835,0.492811,0.492809,-0.0499752
5.245,0.456557,0.493373,0.493372,-0.036816
5.25,0.491599,0.493935,0.493934,-0.00233673
5.255,0.526368,0.494497,0.494496,0.0318709
5.26,0.545111,0.495059,0.495057,0.050052
5.265,0.546569,0.49562,0.495619,0.0509492
5.27,0.529404,0.496181,0.49618,0.0332227
5.275,0.495715,0.496742,0.49674,-0.00102732
5.28,0.474209,0.497302,0.497301,-0.0230931
5.285,0.465974,0.497862,0.497861,-0.0318888
5.29,0.459938,0.498422,0.498421,-0.0384839
5.295,0.467877,0.498982,0.49898,-0.0311049
5.3,0.481389,0.499541,0.499539,-0.0181515
5.305,0.51906,0.5001,0.500098,0.0189603
5.31,0.531326,0.500658,0.500657,0.0306675
5.315,0.557804,0.501217,0.501215,0.0565877
5.32,0.562123,0.501775,0.501773,0.0603482
5.325,0.560159,0.502332,0.502331,0.057827
5.33,0.53161,0.50289,0.502888,0.0287204
5.335,0.510182,0.503447,0.503445,0.00673539
5.34,0.528026,0.504004,0.504002,0.0240225
5.345,0.554473,0.50456,0.504559,0.0499127
5.35,0.546953,0.505116,0.505115,0.0418369
5.355,0.49416,0.505672,0.505671,-0.0115126
5.36,0.50531,0.506228,0.506226,-0.000917984
5.365,0.539229,0.506783,0.506782,0.0324459
5.37,0.564491,0.507338,0.507337,0.0571528
5.375,0.538145,0.507893,0.507891,0.0302526
5.38,0.499848,0.508447,0.508446,-0.00859965
5.385,0.480606,0.509001,0.509,-0.028395
5.39,0.496281,0.509555,0.509554,-0.0132741
5.395,0.489598,0.510109,0.510107,-0.020511
5.4,0.522528,0.510662,0.51066,0.0118658
5.405,0.554804,0.511215,0.511213,0.0435888
5.41,0.571914,0.511767,0.511766,0.0601467
5.415,0.580504,0.51232,0.512318,0.068184
5.42,0.576815,0.512872,0.51287,0.063943
5.425,0.579169,0.513423,0.513422,0.0657456
5.43,0.576813,0.513975,0.513973,0.0628377
5.435,0.559733,0.514526,0.514525,0.0452068
5.44,0.554312,0.515077,0.515075,0.0392348
5.445,0.536781,0.515627,0.515626,0.0211534
5.45,0.516176,0.516177,0.516176,-1.58103e-06
5.455,0.495375,0.516727,0.516726,-0.0213526
5.46,0.473309,0.517277,0.517276,-0.0439681
5.465,0.474643,0.517826,0.517825,-0.0431838
5.47,0.492799,0.518375,0.518374,-0.0255764
5.475,0.504755,0.518924,0.518923,-0.0141688
5.48,0.535159,0.519473,0.519471,0.0156869
5.485,0.528648,0.520021,0.520019,0.0086269
5.49,0.52491,0.520569,0.520567,0.00434192
5.495,0.540945,0.521116,0.521115,0.0198285
5.5,0.552204,0.521663,0.521662,0.0305405
5.505,0.557075,0.52221,0.522209,0.0348645
5.51,0.540784,0.522757,0.522756,0.018027
5.515,0.526245,0.523303,0.523302,0.00294189
5.52,0.544268,0.523849,0.523848,0.0204182
5.525,0.561418,0.524395,0.524394,0.037023
5.53,0.575151,0.524941,0.524939,0.0502106
5.535,0.547281,0.525486,0.525484,0.0217951
5.54,0.543155,0.526031,0.526029,0.0171241
5.545,0.533166,0.526575,0.526574,0.006591
5.55,0.529481,0.52712,0.527118,0.00236144
5.555,0.51293,0.527664,0.527662,-0.0147338
5.56,0.498534,0.528207,0.528206,-0.0296732
5.565,0.50786,0.528751,0.528749,-0.0208903
5.57,0.530095,0.529294,0.529292,0.000801778
5.575,0.545553,0.529837,0.529835,0.0157161
5.58,0.546436,0.530379,0.530378,0.0160574
5.585,0.555905,0.530921,0.53092,0.0249835
5.59,0.563338,0.531463,0.531462,0.0318749
5.595,0.568731,0.532005,0.532003,0.0367261
5.6,0.559187,0.532546,0.532545,0.0266406
5.605,0.551403,0.533087,0.533086,0.0183164
5.61,0.53334,0.533628,0.533626,-0.000288176
5.615,0.540566,0.534168,0.534167,0.00639763
5.62,0.569419,0.534708,0.534707,0.0347103
5.625,0.581224,0.535248,0.535247,0.0459757
5.63,0.590361,0.535788,0.535786,0.0545729
5.635,0.600502,0.536327,0.536326,0.0641749
5.64,0.602177,0.536866,0.536865,0.0653111
5.645,0.607175,0.537405,0.537403,0.0697707
5.65,0.625393,0.537943,0.537942,0.0874496
5.655,0.637282,0.538481,0.53848,0.0988012
5.66,0.654275,0.539019,0.539018,0.115256
5.665,0.649641,0.539557,0.539555,0.110084
5.67,0.638884,0.540094,0.540092,0.09879
5.675,0.635199,0.540631,0.540629,0.0945681
5.68,0.642209,0.541167,0.541166,0.101042
5.685,0.629891,0.541704,0.541702,0.0881874
5.69,0.601259,0.54224,0.542238,0.0590193
5.695,0.593019,0.542775,0.542774,0.0502436
5.7,0.601375,0.543311,0.543309,0.0580641
5.705,0.607689,0.543846,0.543844,0.0638432
5.71,0.591163,0.544381,0.544379,0.0467819
5.715,0.560432,0.544915,0.544914,0.0155169
5.72,0.569759,0.54545,0.545448,0.0243094
5.725,0.589413,0.545984,0.545982,0.0434294
5.73,0.594552,0.546517,0.546516,0.0480345
5.735,0.611488,0.547051,0.547049,0.0644376
5.74,0.622217,0.547584,0.547582,0.0746336
5.745,0.624235,0.548117,0.548115,0.0761186
5.75,0.630488,0.548649,0.548648,0.0818385
5.755,0.604325,0.549181,0.54918,0.0551436
5.76,0.610144,0.549713,0.549712,0.0604306
5.765,0.601394,0.550245,0.550243,0.0511488
5.77,0.614043,0.550776,0.550775,0.0632668
5.775,0.607251,0.551307,0.551306,0.0559437
5.78,0.611159,0.551838,0.551837,0.0593207
5.785,0.615625,0.552368,0.552367,0.0632563
5.79,0.635297,0.552899,0.552897,0.0823987
5.795,0.640057,0.553428,0.553427,0.0866286
5.8,0.63777,0.553958,0.553957,0.0838121
5.805,0.643167,0.554487,0.554486,0.0886794
5.81,0.635274,0.555016,0.555015,0.0802579
5.815,0.614688,0.555545,0.555544,0.0591429
5.82,0.581497,0.556074,0.556072,0.0254238
5.825,0.574017,0.556602,0.5566,0.0174149
5.83,0.570627,0.557129,0.557128,0.0134977
5.835,0.596502,0.557657,0.557656,0.0388447
5.84,0.607547,0.558184,0.558183,0.0493627
5.845,0.614378,0.558711,0.55871,0.0556663
5.85,0.630476,0.559238,0.559236,0.071238
5.855,0.647857,0.559764,0.559763,0.0880932
5.86,0.664236,0.56029,0.560289,0.103946
5.865,0.651194,0.560816,0.560815,0.0903776
5.87,0.619183,0.561342,0.56134,0.0578412
5.875,0.603583,0.561867,0.561865,0.041716
5.88,0.597164,0.562392,0.56239,0.034772
5.885,0.578724,0.562916,0.562915,0.0158074
5.89,0.584307,0.563441,0.563439,0.0208657
5.895,0.627254,0.563965,0.563963,0.0632889
5.9,0.675738,0.564489,0.564487,0.111249
5.905,0.704638,0.565012,0.565011,0.139625
5.91,0.683961,0.565535,0.565534,0.118426
5.915,0.662541,0.566058,0.566057,0.0964832
5.92,0.652844,0.566581,0.566579,0.0862632
5.925,0.649529,0.567103,0.567102,0.0824262
5.93,0.675205,0.567625,0.567624,0.10758
5.935,0.71238,0.568147,0.568145,0.144233
5.94,0.733867,0.568668,0.568667,0.165199
5.945,0.711054,0.56919,0.569188,0.141864
5.95,0.66844,0.56971,0.569709,0.0987295
5.955,0.666205,0.570231,0.57023,0.0959736
5.96,0.687015,0.570751,0.57075,0.116264
5.965,0.698209,0.571271,0.57127,0.126938
5.97,0.684391,0.571791,0.57179,0.1126
5.975,0.667638,0.57231,0.572309,0.0953271
5.98,0.657317,0.57283,0.572828,0.0844876
5.985,0.651601,0.573348,0.573347,0.0782522
5.99,0.653144,0.573867,0.573866,0.0792765
5.995,0.6491,0.574385,0.574384,0.0747142
6,0.622071,0.574903,0.574902,0.0471675
6.005,0.619691,0.575421,0.57542,0.0442696
6.01,0.600336,0.575938,0.575937,0.0243979
6.015,0.604681,0.576456,0.576454,0.0282252
6.02,0.620949,0.576972,0.576971,0.043977
6.025,0.648903,0.577489,0.577487,0.0714142
6.03,0.628323,0.578005,0.578004,0.050318
6.035,0.601691,0.578521,0.57852,0.0231702
6.04,0.590776,0.579037,0.579035,0.0117389
6.045,0.602295,0.579552,0.579551,0.0227429
6.05,0.617448,0.580067,0.580066,0.0373805
6.055,0.623088,0.580582,0.580581,0.0425063
6.06,0.622136,0.581097,0.581095,0.0410393
6.065,0.640052,0.581611,0.581609,0.0584413
6.07,0.650133,0.582125,0.582123,0.0680079
6.075,0.690435,0.582639,0.582637,0.107796
6.08,0.696987,0.583152,0.58315,0.113835
6.085,0.656955,0.583665,0.583664,0.0732896
6.09,0.611998,0.584178,0.584176,0.0278205
6.095,0.595239,0.58469,0.584689,0.010549
6.1,0.600504,0.585203,0.585201,0.0153017
6.105,0.603917,0.585715,0.585713,0.0182022
6.11,0.627625,0.586226,0.586225,0.041399
6.115,0.639281,0.586738,0.586736,0.0525434
6.12,0.632191,0.587249,0.587247,0.0449427
6.125,0.601579,0.58776,0.587758,0.0138193
6.13,0.598967,0.58827,0.588269,0.0106971
6.135,0.611491,0.58878,0.588779,0.0227104
6.14,0.625829,0.58929,0.589289,0.0365386
6.145,0.650395,0.5898,0.589798,0.0605951
6.15,0.683683,0.590309,0.590308,0.0933732
6.155,0.678,0.590818,0.590817,0.0871814
6.16,0.6625,0.591327,0.591326,0.0711731
6.165,0.662169,0.591836,0.591834,0.0703328
6.17,0.661303,0.592344,0.592342,0.0689593
6.175,0.663726,0.592852,0.59285,0.0708737
6.18,0.661026,0.59336,0.593358,0.0676661
6.185,0.657676,0.593867,0.593865,0.0638093
6.19,0.663841,0.594374,0.594372,0.069467
6.195,0.673881,0.594881,0.594879,0.0789999
6.2,0.67371,0.595387,0.595386,0.0783225
6.205,0.678086,0.595894,0.595892,0.0821929
6.21,0.692696,0.5964,0.596398,0.0962963
6.215,0.734604,0.596905,0.596904,0.137698
6.22,0.74539,0.597411,0.597409,0.147979
6.225,0.716401,0.597916,0.597914,0.118485
6.23,0.70263,0.598421,0.598419,0.104209
6.235,0.692433,0.598925,0.598924,0.0935077
6.24,0.703056,0.599429,0.599428,0.103627
6.245,0.67068,0.599933,0.599932,0.0707463
6.25,0.644155,0.600437,0.600435,0.0437182
6.255,0.636731,0.60094,0.600939,0.0357909
6.26,0.616726,0.601443,0.601442,0.0152825
6.265,0.634734,0.601946,0.601945,0.0327877
6.27,0.659536,0.602449,0.602447,0.0570867
6.275,0.684742,0.602951,0.60295,0.0817909
6.28,0.693235,0.603453,0.603452,0.0897821
6.285,0.697141,0.603955,0.603953,0.093186
6.29,0.710752,0.604456,0.604455,0.106296
6.295,0.747549,0.604957,0.604956,0.142591
6.3,0.760469,0.605458,0.605457,0.155011
6.305,0.750054,0.605959,0.605957,0.144095
6.31,0.736259,0.606459,0.606457,0.1298
6.315,0.709654,0.606959,0.606957,0.102695
6.32,0.705724,0.607459,0.607457,0.0982652
6.325,0.705955,0.607958,0.607957,0.0979973
6.33,0.696114,0.608457,0.608456,0.0876566
6.335,0.702477,0.608956,0.608955,0.0935204
6.34,0.713294,0.609455,0.609453,0.103839
6.345,0.730829,0.609953,0.609951,0.120876
6.35,0.778213,0.610451,0.610449,0.167762
6.355,0.770892,0.610949,0.610947,0.159943
6.36,0.7596,0.611446,0.611445,0.148154
6.365,0.75701,0.611943,0.611942,0.145067
6.37,0.755361,0.61244,0.612439,0.14292
6.375,0.77063,0.612937,0.612935,0.157693
6.38,0.757883,0.613433,0.613432,0.14445
6.385,0.741672,0.613929,0.613928,0.127743
6.39,0.746737,0.614425,0.614423,0.132312
6.395,0.768878,0.61492,0.614919,0.153957
6.4,0.750693,0.615416,0.615414,0.135277
6.405,0.744841,0.615911,0.615909,0.12893
6.41,0.711091,0.616405,0.616404,0.0946855
6.415,0.735398,0.6169,0.616898,0.118498
6.42,0.77398,0.617394,0.617392,0.156586
6.425,0.7646,0.617887,0.617886,0.146713
6.43,0.768582,0.618381,0.618379,0.150201
6.435,0.771415,0.618874,0.618873,0.152541
6.44,0.777814,0.619367,0.619366,0.158447
6.445,0.756778,0.61986,0.619858,0.136918
6.45,0.714841,0.620352,0.620351,0.0944891
6.455,0.690703,0.620844,0.620843,0.0698589
6.46,0.69622,0.621336,0.621335,0.074884
6.465,0.696167,0.621828,0.621826,0.074339
6.47,0.680151,0.622319,0.622317,0.0578317
6.475,0.657251,0.62281,0.622808,0.0344408
6.48,0.657255,0.623301,0.623299,0.033954
6.485,0.673042,0.623791,0.623789,0.0492512
6.49,0.702009,0.624281,0.62428,0.0777277
6.495,0.717659,0.624771,0.624769,0.0928877
6.5,0.729463,0.625261,0.625259,0.104202
6.505,0.7373,0.62575,0.625748,0.11155
6.51,0.752732,0.626239,0.626237,0.126493
6.515,0.767886,0.626728,0.626726,0.141158
6.52,0.789234,0.627216,0.627215,0.162018
6.525,0.817122,0.627704,0.627703,0.189418
6.53,0.813546,0.628192,0.628191,0.185354
6.535,0.801893,0.62868,0.628678,0.173213
6.54,0.744792,0.629167,0.629166,0.115624
6.545,0.689891,0.629654,0.629653,0.060237
6.55,0.664119,0.630141,0.63014,0.0339777
6.555,0.670888,0.630628,0.630626,0.0402605
6.56,0.684016,0.631114,0.631112,0.0529023
6.565,0.685718,0.6316,0.631598,0.054118
6.57,0.70004,0.632086,0.632084,0.0679542
6.575,0.732298,0.632571,0.632569,0.0997273
6.58,0.76558,0.633056,0.633054,0.132524
6.585,0.749551,0.633541,0.633539,0.11601
6.59,0.699699,0.634025,0.634024,0.0656733
6.595,0.667137,0.63451,0.634508,0.0326268
6.6,0.668374,0.634994,0.634992,0.0333804
6.605,0.674819,0.635477,0.635476,0.0393416
6.61,0.681767,0.635961,0.635959,0.0458059
6.615,0.681623,0.636444,0.636443,0.0451789
6.62,0.689202,0.636927,0.636925,0.0522746
6.625,0.679091,0.63741,0.637408,0.0416815
6.63,0.691042,0.637892,0.63789,0.0531502
6.635,0.703884,0.638374,0.638372,0.0655097
6.64,0.714727,0.638856,0.638854,0.0758712
