two_theta,y_obs,y_calc,y_bkg,y_diff
5,7500,7382.75,7382.75,117.247
5.01,6975,7398.73,7398.73,-423.734
5.02,7175,7414.7,7414.7,-239.696
5.03,8050,7430.64,7430.64,619.361
5.04,8125,7446.56,7446.56,678.437
5.05,7925,7462.47,7462.47,462.532
5.06,7975,7478.35,7478.35,496.645
5.07,8400,7494.22,7494.22,905.778
5.08,7900,7510.07,7510.07,389.929
5.09,7850,7525.9,7525.9,324.099
5.1,7950,7541.71,7541.71,408.288
5.11,7725,7557.5,7557.5,167.495
5.12,7550,7573.28,7573.28,-23.2786
5.13,7575,7589.03,7589.03,-14.0336
5.14,7700,7604.77,7604.77,95.2301
5.15,7925,7620.49,7620.49,304.513
5.16,7550,7636.19,7636.19,-86.1863
5.17,7875,7651.87,7651.87,223.134
5.18,7125,7667.53,7667.53,-542.528
5.19,7850,7683.17,7683.17,166.829
5.2,7825,7698.8,7698.8,126.205
5.21,7975,7714.4,7714.4,260.599
5.22,7575,7729.99,7729.99,-154.988
5.23,8325,7745.56,7745.56,579.444
5.24,7650,7761.11,7761.11,-111.106
5.25,7725,7776.64,7776.64,-51.6374
5.26,7850,7792.15,7792.15,57.8499
5.27,7550,7807.64,7807.64,-257.644
5.28,7975,7823.12,7823.12,151.88
5.29,8000,7838.58,7838.58,161.423
5.3,8000,7854.02,7854.02,145.984
5.31,8400,7869.44,7869.44,530.564
5.32,7550,7884.84,7884.84,-334.838
5.33,8375,7900.22,7900.22,474.778
5.34,7500,7915.59,7915.59,-415.586
5.35,8475,7930.93,7930.93,544.067
5.36,7425,7946.26,7946.26,-521.261
5.37,7825,7961.57,7961.57,-136.571
5.38,7300,7976.86,7976.86,-676.862
5.39,8325,7992.14,7992.14,332.865
5.4,8350,8007.39,8007.39,342.61
5.41,9075,8022.63,8022.63,1052.37
5.42,8425,8037.84,8037.84,387.156
5.43,8025,8053.04,8053.04,-28.0443
5.44,7900,8068.23,8068.23,-168.226
5.45,7600,8083.39,8083.39,-483.389
5.46,7575,8098.53,8098.53,-523.534
5.47,8100,8113.66,8113.66,-13.6607
5.48,7350,8128.77,8128.77,-778.769
5.49,7625,8143.86,8143.86,-518.86
5.5,7850,8158.93,8158.93,-308.932
5.51,8300,8173.99,8173.99,126.014
5.52,8150,8189.02,8189.02,-39.0214
5.53,8350,8204.04,8204.04,145.961
5.54,8050,8219.04,8219.04,-169.039
5.55,7800,8234.02,8234.02,-434.02
5.56,9150,8248.98,8248.98,901.017
5.57,8200,8263.93,8263.93,-63.9284
5.58,8350,8278.86,8278.86,71.1444
5.59,7775,8293.76,8293.76,-518.765
5.6,8700,8308.66,8308.66,391.344
5.61,8000,8323.53,8323.53,-323.529
5.62,9075,8338.38,8338.38,736.616
5.63,8750,8353.22,8353.22,396.779
5.64,8900,8368.04,8368.04,531.96
5.65,8075,8382.84,8382.84,-307.841
5.66,8275,8397.62,8397.62,-122.624
5.67,8925,8412.39,8412.39,512.611
5.68,8950,8427.14,8427.14,522.864
5.69,8775,8441.87,8441.87,333.135
5.7,8450,8456.58,8456.58,-6.57641
5.71,8675,8471.27,8471.27,203.73
5.72,8350,8485.95,8485.95,-135.945
5.73,7850,8500.6,8500.6,-650.603
5.74,8750,8515.24,8515.24,234.757
5.75,8975,8529.87,8529.87,445.135
5.76,8850,8544.47,8544.47,305.531
5.77,8525,8559.06,8559.06,-34.0558
5.78,8950,8573.62,8573.62,376.376
5.79,8150,8588.18,8588.18,-438.175
5.8,9450,8602.71,8602.71,847.292
5.81,8400,8617.22,8617.22,-217.224
5.82,8200,8631.72,8631.72,-431.721
5.83,8700,8646.2,8646.2,53.7986
5.84,8100,8660.66,8660.66,-560.664
5.85,8125,8675.11,8675.11,-550.108
5.86,9125,8689.54,8689.54,435.465
5.87,8400,8703.94,8703.94,-303.944
5.88,9125,8718.34,8718.34,406.664
5.89,8375,8732.71,8732.71,-357.71
5.9,8200,8747.07,8747.07,-547.066
5.91,7925,8761.4,8761.4,-836.405
5.92,7650,8775.73,8775.73,-1125.73
5.93,8725,8790.03,8790.03,-65.0296
5.94,9025,8804.32,8804.32,220.684
5.95,8650,8818.58,8818.58,-168.584
5.96,8650,8832.84,8832.84,-182.835
5.97,8450,8847.07,8847.07,-397.069
5.98,8775,8861.28,8861.28,-86.2844
5.99,8875,8875.48,8875.48,-0.482882
6,8750,8889.66,8889.66,-139.664
6.01,8675,8903.83,8903.83,-228.827
6.02,9075,8917.97,8917.97,157.027
6.03,9400,8932.1,8932.1,467.898
6.04,8850,8946.21,8946.21,-96.2133
6.05,8550,8960.31,8960.31,-410.307
6.06,9325,8974.38,8974.38,350.616
6.07,9300,8988.44,8988.44,311.557
6.08,8925,9002.48,9002.48,-77.4844
6.09,9200,9016.51,9016.51,183.491
6.1,9500,9030.52,9030.52,469.484
6.11,8475,9044.51,9044.51,-569.505
6.12,9125,9058.48,9058.48,66.5221
6.13,9000,9072.43,9072.43,-72.433
6.14,9025,9086.37,9086.37,-61.3709
6.15,8950,9100.29,9100.29,-150.291
6.16,8725,9114.19,9114.19,-389.195
6.17,9525,9128.08,9128.08,396.919
6.18,8725,9141.95,9141.95,-416.95
6.19,8675,9155.8,9155.8,-480.802
6.2,10175,9169.64,9169.64,1005.36
6.21,9225,9183.45,9183.45,41.5466
6.22,9375,9197.25,9197.25,177.746
6.23,9975,9211.04,9211.04,763.963
6.24,9125,9224.8,9224.8,-99.8025
6.25,9550,9238.55,9238.55,311.449
6.26,8975,9252.28,9252.28,-277.283
6.27,9250,9266,9266,-15.9975
6.28,9100,9279.7,9279.7,-179.695
6.29,8775,9293.38,9293.38,-518.375
6.3,9175,9307.04,9307.04,-132.039
6.31,8875,9320.69,9320.69,-445.685
6.32,9450,9334.31,9334.31,115.685
6.33,8750,9347.93,9347.93,-597.927
6.34,9725,9361.52,9361.52,363.478
6.35,9550,9375.1,9375.1,174.899
6.36,9275,9388.66,9388.66,-113.662
6.37,10250,9402.21,9402.21,847.794
6.38,9500,9415.73,9415.73,84.2661
6.39,9300,9429.24,9429.24,-129.244
6.4,8575,9442.74,9442.74,-867.738
6.41,9200,9456.21,9456.21,-256.215
6.42,9550,9469.67,9469.67,80.3252
6.43,9375,9483.12,9483.12,-108.118
6.44,9175,9496.54,9496.54,-321.544
6.45,10050,9509.95,9509.95,540.047
6.46,9675,9523.35,9523.35,151.654
6.47,9450,9536.72,9536.72,-86.7216
6.48,9000,9550.08,9550.08,-550.081
6.49,9275,9563.42,9563.42,-288.423
6.5,9100,9576.75,9576.75,-476.748
6.51,9225,9590.06,9590.06,-365.057
6.52,8700,9603.35,9603.35,-903.348
6.53,9025,9616.62,9616.62,-591.624
6.54,9250,9629.88,9629.88,-379.882
6.55,9825,9643.12,9643.12,181.876
6.56,9875,9656.35,9656.35,218.651
6.57,10025,9669.56,9669.56,355.443
6.58,9100,9682.75,9682.75,-582.749
6.59,9350,9695.92,9695.92,-345.924
6.6,9250,9709.08,9709.08,-459.082
6.61,9625,9722.22,9722.22,-97.224
6.62,9450,9735.35,9735.35,-285.349
6.63,8975,9748.46,9748.46,-773.458
6.64,9125,9761.55,9761.55,-636.55
6.65,9925,9774.63,9774.63,150.375
6.66,9725,9787.68,9787.68,-62.6842
6.67,9625,9800.73,9800.73,-175.727
6.68,9675,9813.75,9813.75,-138.752
6.69,10125,9826.76,9826.76,298.238
6.7,10125,9839.75,9839.75,285.245
6.71,10300,9852.73,9852.73,447.269
6.72,10250,9865.69,9865.69,384.309
6.73,9550,9878.63,9878.63,-328.634
6.74,9850,9891.56,9891.56,-41.5613
6.75,9600,9904.47,9904.47,-304.472
6.76,9350,9917.37,9917.37,-567.366
6.77,10450,9930.24,9930.24,519.756
6.78,9400,9943.11,9943.11,-543.105
6.79,9300,9955.95,9955.95,-655.95
6.8,9725,9968.78,9968.78,-243.779
6.81,9425,9981.59,9981.59,-556.591
6.82,9975,9994.39,9994.39,-19.3873
6.83,9700,10007.2,10007.2,-307.167
6.84,10050,10019.9,10019.9,30.0697
6.85,9425,10032.7,10032.7,-607.677
6.86,10250,10045.4,10045.4,204.592
6.87,10175,10058.1,10058.1,116.877
6.88,9800,10070.8,10070.8,-270.821
6.89,9750,10083.5,10083.5,-333.503
6.9,10225,10096.2,10096.2,128.831
6.91,9750,10108.8,10108.8,-358.819
6.92,9850,10121.5,10121.5,-271.452
6.93,10100,10134.1,10134.1,-34.0693
6.94,10650,10146.7,10146.7,503.33
6.95,9875,10159.3,10159.3,-284.255
6.96,9725,10171.8,10171.8,-446.824
6.97,9750,10184.4,10184.4,-434.377
6.98,10000,10196.9,10196.9,-196.913
6.99,10225,10209.4,10209.4,15.5661
7,10400,10221.9,10221.9,178.062
7.01,10025,10234.4,10234.4,-209.427
7.02,9425,10246.9,10246.9,-821.899
7.03,9000,10259.4,10259.4,-1259.36
7.04,9700,10271.8,10271.8,-571.795
7.05,10125,10284.2,10284.2,-159.219
7.06,10525,10296.6,10296.6,228.372
7.07,10925,10309,10309,615.98
7.08,9700,10321.4,10321.4,-621.396
7.09,9950,10333.8,10333.8,-383.756
7.1,10025,10346.1,10346.1,-321.1
7.11,10275,10358.4,10358.4,-83.4287
7.12,9875,10370.7,10370.7,-495.741
7.13,10275,10383,10383,-108.038
7.14,9450,10395.3,10395.3,-945.318
7.15,10250,10407.6,10407.6,-157.583
7.16,9950,10419.8,10419.8,-469.832
7.17,10850,10432.1,10432.1,417.935
7.18,10875,10444.3,10444.3,430.718
7.19,10425,10456.5,10456.5,-31.4832
7.2,9850,10468.7,10468.7,-618.669
7.21,9775,10480.8,10480.8,-705.838
7.22,10050,10493,10493,-442.992
7.23,10400,10505.1,10505.1,-105.13
7.24,10150,10517.3,10517.3,-367.253
7.25,10175,10529.4,10529.4,-354.359
7.26,10100,10541.5,10541.5,-441.45
7.27,10850,10553.5,10553.5,296.474
7.28,10375,10565.6,10565.6,-190.585
7.29,8950,10577.6,10577.6,-1627.63
7.3,10375,10589.7,10589.7,-214.657
7.31,10825,10601.7,10601.7,223.331
7.32,11225,10613.7,10613.7,611.334
7.33,10675,10625.6,10625.6,49.3529
7.34,10725,10637.6,10637.6,87.3874
7.35,9800,10649.6,10649.6,-849.562
7.36,10325,10661.5,10661.5,-336.497
7.37,9725,10673.4,10673.4,-948.415
7.38,10825,10685.3,10685.3,139.682
7.39,10950,10697.2,10697.2,252.794
7.4,10000,10709.1,10709.1,-709.078
7.41,10575,10720.9,10720.9,-145.934
7.42,10150,10732.8,10732.8,-582.775
7.43,10650,10744.6,10744.6,-94.6007
7.44,10575,10756.4,10756.4,-181.411
7.45,11050,10768.2,10768.2,281.795
7.46,10850,10780,10780,70.016
7.47,9775,10791.7,10791.7,-1016.75
7.48,10700,10803.5,10803.5,-103.496
7.49,10675,10815.2,10815.2,-140.228
7.5,11100,10826.9,10826.9,273.055
7.51,10400,10838.6,10838.6,-438.647
7.52,10600,10850.3,10850.3,-250.334
7.53,10600,10862,10862,-262.005
7.54,10375,10873.7,10873.7,-498.66
7.55,10575,10885.3,10885.3,-310.301
7.56,10150,10896.9,10896.9,-746.926
7.57,10450,10908.5,10908.5,-458.535
7.58,10075,10920.1,10920.1,-845.13
7.59,11450,10931.7,10931.7,518.291
7.6,10725,10943.3,10943.3,-218.272
7.61,10600,10954.8,10954.8,-354.821
7.62,10375,10966.4,10966.4,-591.354
7.63,10675,10977.9,10977.9,-302.872
7.64,10900,10989.4,10989.4,-89.3748
7.65,12025,11000.9,11000.9,1024.14
7.66,10850,11012.3,11012.3,-162.335
7.67,11325,11023.8,11023.8,301.208
7.68,11250,11035.2,11035.2,214.766
7.69,11900,11046.7,11046.7,853.34
7.7,11650,11058.1,11058.1,591.928
7.71,11000,11069.5,11069.5,-69.4685
7.72,11850,11080.8,11080.8,769.15
7.73,10850,11092.2,11092.2,-242.216
7.74,11100,11103.6,11103.6,-3.56714
7.75,10300,11114.9,11114.9,-814.903
7.76,10650,11126.2,11126.2,-476.224
7.77,10700,11137.5,11137.5,-437.53
7.78,11175,11148.8,11148.8,26.1792
7.79,11075,11160.1,11160.1,-85.0966
7.8,11225,11171.4,11171.4,53.6426
7.81,11250,11182.6,11182.6,67.3969
7.82,10675,11193.8,11193.8,-518.834
7.83,11400,11205,11205,194.95
7.84,11225,11216.3,11216.3,8.74957
7.85,11250,11227.4,11227.4,22.5637
7.86,11025,11238.6,11238.6,-213.607
7.87,10700,11249.8,11249.8,-549.763
7.88,10525,11260.9,11260.9,-735.904
7.89,11250,11272,11272,-22.0302
7.9,11150,11283.1,11283.1,-133.141
7.91,11100,11294.2,11294.2,-194.238
7.92,9925,11305.3,11305.3,-1380.32
7.93,11675,11316.4,11316.4,358.614
7.94,10450,11327.4,11327.4,-877.438
7.95,10150,11338.5,11338.5,-1188.47
7.96,10000,11349.5,11349.5,-1349.5
7.97,11950,11360.5,11360.5,589.496
7.98,11750,11371.5,11371.5,378.504
7.99,11175,11382.5,11382.5,-207.474
8,10950,11393.4,11393.4,-443.437
8.01,11325,11404.4,11404.4,-79.3854
8.02,11450,11415.3,11415.3,34.6811
8.03,11000,11426.2,11426.2,-426.238
8.04,10525,11437.1,11437.1,-912.142
