stage,status,rwp_before,rwp_after
background_scale,ok,99.97263577174287,8.881938798321247
sample_displacement,ok,8.881938798321247,8.881938798321247
unit_cell,ok,8.881938798321247,7.965565243293342
profile_instrument,ok,7.965565243293342,6.377057247011043
peak_asymmetry,failed_bounds,6.377057247011043,6.3752707911486075
profile_microstrain_size,ok,6.377057247011043,6.389172560028282
extinction,failed_bounds,6.389172560028282,6.498157413860621
preferred_orientation,ok,6.389172560028282,6.30370423407295
