stage,status,rwp_before,rwp_after
background_scale,ok,100.0,27.680774009927866
sample_displacement,ok,27.680774009927866,27.605803732480698
unit_cell,ok,27.605803732480698,27.52436382074222
profile_instrument,ok,27.52436382074222,18.337635579248865
peak_asymmetry,ok,18.337635579248865,14.084648726320099
profile_microstrain_size,ok,14.084648726320099,13.889247689228846
extinction,failed_bounds,13.889247689228846,14.401840528252286
preferred_orientation,failed_bounds,13.889247689228846,100.0
